customer_id,customer_type,signup_date
1,occasional,2025-02-20
2,occasional,2025-03-12
3,occasional,2025-02-17
4,occasional,2025-01-19
5,frequent,2025-01-06
6,frequent,2025-03-25
7,frequent,2025-06-04
8,occasional,2025-02-22
9,occasional,2025-04-17
10,occasional,2025-04-11
11,frequent,2025-02-17
12,occasional,2025-05-15
13,occasional,2025-03-10
14,frequent,2025-01-11
15,frequent,2025-05-23
16,frequent,2025-05-11
17,occasional,2025-05-02
18,occasional,2025-03-10
19,occasional,2025-01-23
20,frequent,2025-02-06
21,occasional,2025-01-09
22,frequent,2025-01-15
23,frequent,2025-05-11
24,occasional,2025-04-03
25,occasional,2025-01-17
26,occasional,2025-06-03
27,frequent,2025-05-29
28,occasional,2025-03-13
29,occasional,2025-05-29
30,frequent,2025-05-01
31,occasional,2025-01-11
32,frequent,2025-06-15
33,frequent,2025-03-13
34,occasional,2025-04-16
35,occasional,2025-05-05
36,occasional,2025-02-04
37,occasional,2025-04-29
38,frequent,2025-01-14
39,occasional,2025-01-14
40,occasional,2025-01-10
41,frequent,2025-05-20
42,occasional,2025-02-07
43,frequent,2025-04-18
44,occasional,2025-04-29
45,frequent,2025-02-03
46,occasional,2025-06-18
47,occasional,2025-01-10
48,occasional,2025-05-02
49,occasional,2025-05-25
50,frequent,2025-05-25
51,occasional,2025-04-25
52,occasional,2025-01-01
53,occasional,2025-01-12
54,occasional,2025-04-13
55,occasional,2025-01-04
56,occasional,2025-06-19
57,frequent,2025-05-21
58,frequent,2025-04-08
59,frequent,2025-04-16
60,occasional,2025-03-26
61,occasional,2025-05-01
62,frequent,2025-05-12
63,occasional,2025-03-23
64,occasional,2025-01-19
65,frequent,2025-05-10
66,occasional,2025-01-12
67,frequent,2025-03-22
68,occasional,2025-03-15
69,frequent,2025-04-08
70,occasional,2025-01-06
71,occasional,2025-05-16
72,frequent,2025-05-05
73,frequent,2025-02-20
74,occasional,2025-01-11
75,occasional,2025-05-07
76,occasional,2025-05-20
77,occasional,2025-03-14
78,frequent,2025-01-02
79,occasional,2025-01-08
80,frequent,2025-05-19
81,occasional,2025-05-04
82,occasional,2025-02-22
83,occasional,2025-01-10
84,frequent,2025-04-22
85,occasional,2025-01-08
86,occasional,2025-02-05
87,occasional,2025-04-16
88,occasional,2025-01-14
89,occasional,2025-03-27
90,occasional,2025-05-29
91,frequent,2025-02-19
92,occasional,2025-06-16
93,occasional,2025-01-20
94,occasional,2025-03-28
95,occasional,2025-05-15
96,occasional,2025-05-17
97,occasional,2025-05-09
98,occasional,2025-06-03
99,frequent,2025-06-15
100,frequent,2025-02-07
101,frequent,2025-02-13
102,occasional,2025-03-27
103,occasional,2025-02-13
104,occasional,2025-03-15
105,occasional,2025-04-29
106,frequent,2025-05-02
107,occasional,2025-05-14
108,occasional,2025-05-25
109,frequent,2025-02-20
110,frequent,2025-02-07
111,frequent,2025-06-01
112,frequent,2025-02-20
113,occasional,2025-01-10
114,occasional,2025-04-30
115,occasional,2025-05-29
116,occasional,2025-03-11
117,occasional,2025-03-26
118,frequent,2025-02-26
119,occasional,2025-05-06
120,occasional,2025-02-08
121,occasional,2025-02-02
122,occasional,2025-01-18
123,occasional,2025-02-26
124,frequent,2025-04-06
125,frequent,2025-02-17
126,occasional,2025-02-11
127,occasional,2025-01-27
128,occasional,2025-03-15
129,frequent,2025-04-20
130,occasional,2025-06-29
131,occasional,2025-06-19
132,frequent,2025-02-01
133,frequent,2025-01-26
